TIME,SEGMENTID,BUS COUNT                ,MESSAGE COUNT,SPEED
12/30/2014 11:50:32 PM,37,1.0,3.0,17
02/03/2013 11:50:32 PM,174,1.0,6.0,22
02/20/2013 11:50:32 PM,1224,5.0,29.0,23
02/12/2013 11:50:32 PM,1300,7.0,39.0,17
02/26/2013 11:50:32 PM,896,5.0,14.0,37
02/05/2013 11:50:32 PM,424,1.0,4.0,30
12/20/2014 11:50:32 PM,1210,1.0,4.0,17
12/05/2014 11:50:32 PM,548,2.0,11.0,10
01/19/2013 11:50:32 PM,1260,0.0,0.0,-1
02/09/2013 11:50:32 PM,1267,0.0,0.0,-1
11/30/2014 11:50:32 PM,489,0.0,0.0,-1
12/19/2014 11:50:32 PM,323,0.0,0.0,-1
02/26/2013 11:50:32 PM,316,0.0,0.0,-1
02/18/2013 11:50:32 PM,229,0.0,0.0,-1
02/18/2013 11:50:32 PM,216,2.0,11.0,24
02/13/2013 11:50:32 PM,336,2.0,14.0,21
02/17/2013 11:50:32 PM,351,1.0,8.0,26
12/24/2014 11:50:32 PM,445,2.0,2.0,32
02/15/2013 11:50:32 PM,495,2.0,10.0,23
12/13/2014 11:50:32 PM,636,3.0,11.0,31
12/14/2014 11:50:32 PM,549,1.0,4.0,18
12/17/2014 11:50:32 PM,219,2.0,10.0,20
12/22/2014 11:50:32 PM,133,1.0,11.0,26
02/02/2013 11:50:32 PM,1189,1.0,2.0,22
02/18/2013 11:50:32 PM,1105,2.0,6.0,18
11/29/2014 11:50:32 PM,295,2.0,13.0,16
12/22/2014 11:50:32 PM,229,0.0,0.0,-1
11/27/2014 11:50:32 PM,318,0.0,0.0,-1
02/09/2013 11:50:32 PM,597,0.0,0.0,-1
12/13/2014 11:50:32 PM,1059,0.0,0.0,-1
02/07/2013 11:50:32 PM,1215,2.0,8.0,20
02/10/2013 11:50:32 PM,36,0.0,0.0,-1
12/14/2014 11:50:32 PM,20,1.0,4.0,23
12/14/2014 11:50:32 PM,698,1.0,6.0,25
02/08/2013 11:50:32 PM,140,1.0,8.0,24
02/27/2013 11:50:32 PM,660,0.0,0.0,-1
12/19/2014 11:50:32 PM,528,1.0,11.0,33
12/15/2014 11:50:32 PM,83,1.0,1.0,24
02/26/2013 11:50:32 PM,458,1.0,2.0,33
01/31/2013 11:50:32 PM,896,1.0,1.0,44
02/15/2013 11:50:32 PM,1055,0.0,0.0,-1
12/26/2014 11:50:32 PM,707,1.0,6.0,20
02/15/2013 11:50:32 PM,695,1.0,8.0,24
12/28/2014 11:50:32 PM,11,1.0,8.0,30
01/23/2013 11:50:32 PM,231,1.0,9.0,33
01/16/2013 11:50:32 PM,566,4.0,9.0,31
12/25/2014 11:50:32 PM,106,0.0,0.0,-1
12/26/2014 11:50:32 PM,851,0.0,0.0,-1
02/04/2013 11:50:32 PM,1238,1.0,10.0,24
02/24/2013 11:50:32 PM,54,1.0,9.0,26
11/25/2014 11:50:32 PM,60,0.0,0.0,-1
02/12/2013 11:50:32 PM,73,1.0,2.0,24
01/15/2013 11:50:32 PM,985,0.0,0.0,-1
12/20/2014 11:50:32 PM,1099,0.0,0.0,-1
12/02/2014 11:50:32 PM,275,1.0,16.0,20
12/21/2014 11:50:32 PM,1274,1.0,4.0,29
02/12/2013 11:50:32 PM,1018,0.0,0.0,-1
12/11/2014 11:50:32 PM,1214,1.0,6.0,21
11/28/2014 11:50:32 PM,1184,0.0,0.0,-1
12/08/2014 11:50:32 PM,782,1.0,6.0,22
02/01/2013 11:50:32 PM,115,0.0,0.0,-1
02/26/2013 11:50:32 PM,826,1.0,1.0,28
12/22/2014 11:50:32 PM,605,1.0,2.0,49
12/18/2014 11:50:32 PM,413,1.0,5.0,22
11/28/2014 11:50:32 PM,861,4.0,19.0,8
12/01/2014 11:50:32 PM,832,0.0,0.0,-1
02/22/2013 11:50:32 PM,264,1.0,10.0,22
12/09/2014 11:50:32 PM,1081,0.0,0.0,-1
12/22/2014 11:50:32 PM,210,2.0,7.0,25
12/30/2014 11:50:32 PM,307,0.0,0.0,-1
